TIMESTAMP|TEMPERATUR_C|LUFTFEUCHTE_PERCENT|DRUCK_HPA
2026-02-21T17:24:27|20.24|33.72|1007.48
2026-02-21T17:29:27|20.25|33.73|1007.49
2026-02-21T17:34:28|20.25|33.72|1007.57
2026-02-21T17:39:28|20.26|33.71|1007.67
2026-02-21T17:44:28|20.26|33.68|1007.67
2026-02-21T17:49:28|20.27|33.71|1007.79
2026-02-21T17:54:28|20.25|33.73|1007.74
2026-02-21T17:59:29|20.26|33.74|1007.88
2026-02-21T18:04:29|20.26|33.75|1007.89
2026-02-21T18:09:29|20.25|33.82|1007.89
2026-02-21T18:14:29|20.24|33.8|1007.96
2026-02-21T18:19:30|20.24|33.76|1007.96
2026-02-21T18:24:30|20.25|33.79|1008.03
2026-02-21T18:29:30|20.25|33.77|1008.11
2026-02-21T18:34:30|20.25|33.8|1008.03
2026-02-21T18:39:30|20.25|33.78|1008.06
2026-02-21T18:44:31|20.25|33.78|1008.11
2026-02-21T18:49:31|20.26|33.82|1008.18
2026-02-21T18:54:31|20.28|33.69|1008.24
2026-02-21T18:59:31|20.28|33.68|1008.33
2026-02-21T19:04:31|20.28|33.69|1008.19
2026-02-21T19:09:32|20.29|33.7|1008.28
2026-02-21T19:14:32|20.28|33.68|1008.41
2026-02-21T19:19:32|20.29|33.68|1008.39
2026-02-21T19:24:32|20.3|33.68|1008.41
2026-02-21T19:29:33|20.31|33.7|1008.5
2026-02-21T19:34:33|20.31|33.68|1008.53
2026-02-21T19:39:33|20.31|33.76|1008.56
2026-02-21T19:44:33|20.3|33.78|1008.62
2026-02-21T19:49:33|20.29|33.78|1008.64
